id,Labour force participation,Wage equality for similar work (survey),Estimated earned income (PPP US$),Legislators senior officials & managers,Professional and technical workers,Literacy rate,Enrollment in primary education,Enrollment in secondary education,Enrollment in tertiary education,Sex ratio at birth (female/male),Healthy life expectancy,Women in parliament,Women in ministerial positions,Years with female head of state(last 50),population,gdp,ppp,age,ppp2,rank,total_country,rank_rate
"Iceland,2006",0.87,0.66,0.69,0.41,1.22,1,0.98,1.04,1.78,0.96,1.02,0.5,0.38,0.47,0.3,15.82,35586,31,189,4,115,0.035 
"Iceland,2010",0.9,0.71,0.69,0.5,1.28,1,1,1.02,1.91,0.96,1.03,0.75,0.83,0.53,0.32,11.86,33980,28,184,1,134,0.007 
"Iceland,2014",0.95,0.74,0.8,0.67,1.36,1,1.01,1.01,1.7,0.96,1.01,0.66,0.6,0.68,0.32,17.63,28569,28,169,1,142,0.007 
"Philippines,2006",0.66,0.73,0.59,1.38,1.63,0,1.02,1.2,1.28,0.95,1.08,0.19,0.33,0.29,83.1,97.65,4923,24,70,6,115,0.052 
"Philippines,2010",0.63,0.76,0.58,1.21,1.64,1.01,1.02,1.19,1.24,0.95,1.08,0.25,0.16,0.46,90.35,110.71,3216,23,57,9,134,0.067 
"Philippines,2014",0.65,0.79,0.68,0.91,1.55,1.01,1.02,1.19,1.24,0.95,1.11,0.38,0.19,0.46,98.39,155.56,6005,24,77,9,142,0.063 
"New Zealand,2006",0.82,0.63,0.68,0.56,1.08,1,1,1.03,1.4,0.96,1.04,0.47,0.3,0.22,4,108.55,24769,25,157,7,115,0.061 
"New Zealand,2010",0.85,0.75,0.69,0.67,1.25,1,1.01,1.03,1.48,0.95,1.03,0.51,0.4,0.28,4.27,64.01,24872,26,158,5,134,0.037 
"New Zealand,2014",0.87,0.72,0.61,0.67,1.25,1,1.01,1,1.46,0.95,1.03,0.51,0.42,0.28,4.47,128.94,32240,26,180,13,142,0.092 
"France,2006",0.79,0.47,0.59,0.08,0.67,1,1,1.02,1.28,0.1,1.08,0.14,0.21,0.02,60.5,2105.86,29316,30,171,70,115,0.609 
"France,2010",0.87,0.44,0.647,0.63,0.97,1,1,1.02,1.28,0.95,1.07,0.23,0.36,0.02,62.28,1515,29578,32,172,46,134,0.343 
"France,2014",0.88,0.5,0.75,0.65,0.9,1,1.01,1.02,1.26,0.95,1.07,0.35,0.95,0.22,66.03,2254.25,36085,32,190,16,142,0.113 
"South Africa,2006",0.58,0.64,0.45,0.23,0.89,0.96,1.01,1.12,1.17,0.98,1.05,0.49,0.71,0,47.4,239.14,12160,28,110,18,115,0.157 
"South Africa,2010",0.76,0.66,0.6,0.43,1.01,0.98,1,1.06,1.21,0.98,1.02,0.8,0.52,0,48.69,183.25,9332,28,97,12,134,0.090 
"South Africa,2014",0.77,0.62,0.52,0.43,1.05,0.97,0.99,1.11,0,0.98,1.08,0.81,0.59,0,52.98,313.47,12342,31,111,18,142,0.127 
"United Kingdom,2006",0.8,0.63,0.62,0.49,0.82,1,1,1.03,1.37,0.95,1.04,0.25,0.4,0.3,59.7,2201.47,30470,26,175,9,115,0.078 
"United Kingdom,2010",0.84,0.67,0.71,0.53,0.9,1,1,1.03,1.4,0.95,1.03,0.28,0.29,0.3,61.41,1778.27,32147,26,179,15,134,0.112 
"United Kingdom,2014",0.85,0.69,0.62,0.52,0.95,1,1,1,1.36,0.95,1.03,0.29,0.19,0.3,64.1,2432.81,34658,32,186,26,142,0.183 
"United States,2006",0.82,0.68,0.62,0.85,1.22,1,0.96,1.02,1.39,0.95,1.06,0.18,0.17,0,298.2,12485.73,41399,26,203,23,115,0.200 
"United States,2010",0.85,0.66,0.87,0.74,1.31,1,1.01,1.01,1.4,0.96,1.06,0.2,0.5,0,304.06,11513.87,42107,26,205,19,134,0.142 
"United States,2014",0.86,0.66,1,0.75,1.2,1,1,1.02,1.39,0.95,1.04,0.22,0.47,0,316.13,14498.62,50866,27,226,20,142,0.141 
"Columbia,2006",0.76,0.6,0.51,0.61,1,1,1.01,1.11,1.09,0.97,1.15,0.14,0.56,0,45.6,122.27,7565,23,87,22,115,0.191 
"Columbia,2010",0.55,0.59,0.71,0.86,0.98,1,0.99,1.09,0.99,0.94,1.08,0.11,0.27,0,45.01,134.42,8043,23,90,55,134,0.410 
"Columbia,2014",0.72,0.56,0.56,1.13,1.17,1,0.99,1.08,1.13,0.94,1.06,0,0.45,0,48.32,211.47,11637,22,108,53,142,0.373 
"Chile,2006",0.52,0.5,0.39,0.32,1.08,1,0.97,1.01,0.95,0.95,1.07,0.18,0.2,0.01,16.3,113.96,11937,23,109,78,115,0.678 
"Chile,2010",0.6,0.49,0.42,0.32,1.02,1,0.99,1.063,1.01,0.95,1.07,0.17,0.83,0.09,16.8,104.38,13057,25,114,48,134,0.358 
"Chile,2014",0.69,0.5,0.49,0.31,0.87,1,1,1.04,1.12,0.96,1.06,0.19,0.64,0.09,17.62,171.41,21049,27,145,66,142,0.465 
