key,value,time
2006,0.87,0
2010,0.9,0
2014,0.95,0
2006,0.66,1
2010,0.71,1
2014,0.74,1
2006,0.69,2
2010,0.69,2
2014,0.8,2
2006,0.41,3
2010,0.5,3
2014,0.67,3
2006,1.22,4
2010,1.28,4
2014,1.36,4
2006,1,5
2010,1,5
2014,1,5
2006,0.98,6
2010,1,6
2014,1.01,6
2006,1.04,7
2010,1.02,7
2014,1.01,7
2006,1.78,8
2010,1.91,8
2014,1.7,8
2006,0.96,9
2010,0.96,9
2014,0.96,9
2006,1.02,10
2010,1.03,10
2014,1.01,10
2006,0.5,11
2010,0.75,11
2014,0.66,11
2006,0.38,12
2010,0.83,12
2014,0.6,12
2006,0.47,13
2010,0.53,13
2014,0.68,13
