index,country,year,rank,lab_ratio,wageEq,incomePPP,senior,worker,lit_rate,pri_edu,sec_edu,ter_edu,bir_ratio,health,parliament                                     ,ministerial,fe_head    ,population,gdp,ppp,mar_age,country_year
1,Iceland,2006,4,0.87,0.66,0.69,0.41,1.22,1,0.98,1.04,1.78,0.96,1.02,0.5,0.38,0.47,0.3,15.82,35586,31,"Iceland,2006"
1,Iceland,2010,1,0.9,0.71,0.69,0.5,1.28,1,1,1.02,1.91,0.96,1.03,0.75,0.83,0.53,0.32,11.86,33980,28,"Iceland,2010"
1,Iceland,2014,1,0.95,0.74,0.8,0.67,1.36,1,1.01,1.01,1.7,0.96,1.01,0.66,0.6,0.68,0.32,17.63,28569,28,"Iceland,2014"
2,Philippines,2006,6,0.66,0.73,0.59,1.38,1.63,0,1.02,1.2,1.28,0.95,1.08,0.19,0.33,0.29,83.1,97.65,4923,24,"Philippines,2006"
2,Philippines,2010,9,0.63,0.76,0.58,1.21,1.64,1.01,1.02,1.19,1.24,0.95,1.08,0.25,0.16,0.46,90.35,110.71,3216,23,"Philippines,2010"
2,Philippines,2014,9,0.65,0.79,0.68,0.91,1.55,1.01,1.02,1.19,1.24,0.95,1.11,0.38,0.19,0.46,98.39,155.56,6005,24,"Philippines,2014"
3,New Zealand,2006,7,0.82,0.63,0.68,0.56,1.08,1,1,1.03,1.4,0.96,1.04,0.47,0.3,0.22,4,108.55,24769,25,"New Zealand,2006"
3,New Zealand,2010,5,0.85,0.75,0.69,0.67,1.25,1,1.01,1.03,1.48,0.95,1.03,0.51,0.4,0.28,4.27,64.01,24872,26,"New Zealand,2010"
3,New Zealand,2014,13,0.87,0.72,0.61,0.67,1.25,1,1.01,1,1.46,0.95,1.03,0.51,0.42,0.28,4.47,128.94,32240,26,"New Zealand,2014"
4,France,2006,70,0.79,0.47,0.59,0.08,0.67,1.00,1.00,1.02,1.28,0.10,1.08,0.14,0.21,0.02,60.5,2105.86,29316,30,"France,2006"
4,France,2010,46,0.87,0.44,0.647,0.63,0.97,1,1,1.02,1.28,0.95,1.07,0.23,0.36,0.02,62.28,1515,29578,32,"France,2010"
4,France,2014,16,0.88,0.5,0.75,0.65,0.9,1,1.01,1.02,1.26,0.95,1.07,0.35,0.95,0.22,66.03,2254.25,36085,32,"France,2014"
5,South Africa,2006,18,0.58,0.64,0.45,0.23,0.89,0.96,1.01,1.12,1.17,0.98,1.05,0.49,0.71,0,47.4,239.14,12160,28,"South Africa,2006"
5,South Africa,2010,12,0.76,0.66,0.6,0.43,1.01,0.98,1,1.06,1.21,0.98,1.02,0.8,0.52,0,48.69,183.25,9332,28,"South Africa,2010"
5,South Africa,2014,18,0.77,0.62,0.52,0.43,1.05,0.97,0.99,1.11,-,0.98,1.08,0.81,0.59,0,52.98,313.47,12.42,31,"South Africa,2014"
6,United Kingdom,2006,9,0.8,0.63,0.62,0.49,0.82,1,1,1.03,1.37,0.95,1.04,0.25,0.4,0.3,59.7,2201.47,30470,26,"United Kingdom,2006"
6,United Kingdom,2010,15,0.84,0.67,0.71,0.53,0.9,1,1,1.03,1.4,0.95,1.03,0.28,0.29,0.3,61.41,1778.27,32147,26,"United Kingdom,2010"
6,United Kingdom,2014,26,0.85,0.69,0.62,0.52,0.95,1,1,1,1.36,0.95,1.03,0.29,0.19,0.3,64.1,2432.81,34658,32,"United Kingdom,2014"
7,United States,2006,23,0.82,0.68,0.62,0.85,1.22,1,0.96,1.02,1.39,0.95,1.06,0.18,0.17,0,298.2,12485.73,41399,26,"United States,2006"
7,United States,2010,19,0.85,0.66,0.87,0.74,1.31,1,1.01,1.01,1.4,0.96,1.06,0.2,0.5,0,304.06,11513.87,42107,26,"United States,2010"
7,United States,2014,20,0.86,0.66,1,0.75,1.2,1,1,1.02,1.39,0.95,1.04,0.22,0.47,0,316.13,14498.62,50866,27,"United States,2014"
8,Columbia,2006,22,0.76,0.6,0.51,0.61,1,1,1.01,1.11,1.09,0.97,1.15,0.14,0.56,0,45.6,122.27,7565,23,"Columbia,2006"
8,Columbia,2010,55,0.55,0.59,0.71,0.86,0.98,1,0.99,1.09,0.99,0.94,1.08,0.11,0.27,0,45.01,134.42,8043,23,"Columbia,2010"
8,Columbia,2014,53,0.72,0.56,0.56,1.13,1.17,1,0.99,1.08,1.13,0.94,1.06,-,0.45,0,48.32,211.47,11637,22,"Columbia,2014"
9,Chile,2006,78,0.52,0.5,0.39,0.32,1.08,1,0.97,1.01,0.95,0.95,1.07,0.18,0.2,0.01,16.3,113.96,11937,23,"Chile,2006"
9,Chile,2010,48,0.6,0.49,0.42,0.32,1.02,1,0.99,1.063,1.01,0.95,1.07,0.17,0.83,0.09,16.8,104.38,13057,25,"Chile,2010"
9,Chile,2014,66,0.69,0.50,0.49,0.31,0.87,1.00,1.00,1.04,1.12,0.96,1.06,0.19,0.64,0.09,17.62,171.41,21049,27,"Chile,2014"
10,China,2006,63,0.84,0.61,0.66,0.14,0.82,0.91,1,0.97,0.85,0.89,1.03,0.25,0.07,0.03,1315.8,2224.81,7204,23,"China,2006"
10,China,2010,61,0.88,0.7,0.68,0.2,1.07,0.94,1,0.97,1.04,0.88,1.05,0.27,0.13,0.08,1324.66,2602.57,6200,23,"China,2010"
10,China,2014,87,0.84,0.63,0.64,0.2,1.08,0.95,1,-,1.13,0.9,1.03,0.31,0.09,0.08,1357.38,4864,10756,25,"China,2014"
11,Uganda,2006,47,0.92,0.77,0.67,0.16,-,0.75,0.99,0.81,0.62,0.97,1.05,0.42,0.31,0,28.8,8.71,1617,20,"Uganda,2006"
11,Uganda,2010,33,0.88,0.78,0.69,0.5,0.54,0.81,1.03,0.92,0.8,0.97,1.07,0.46,0.47,0,31.66,11.02,1105,20,"Uganda,2010"
11,Uganda,2014,88,0.96,0.73,0.4,0.25,0.71,0.78,1.03,0.89,0.27,0.97,1.02,0.54,0.47,0,37.58,15.59,1334,20,"Uganda,2014"
12,Japan,2006,79,0.66,0.62,0.46,0.11,0.85,1,1,1.01,0.89,0.95,1.08,0.1,0.14,0,128.1,4571.31,30615,29,"Japan,2006"
12,Japan,2010,94,0.73,0.61,0.53,0.1,0.87,1,1,1,0.88,0.95,1.07,0.13,0.13,0,127.7,5166.28,29688,29,"Japan,2010"
12,Japan,2014,104,0.75,0.68,0.6,0.12,0.87,1,-,1.01,0.9,0.94,1.07,0.09,0.13,0,127.34,4766.66,34882,30,"Japan,2014"
13,India,2006,98,0.41,0.62,0.38,0.03,0.27,0.65,0.94,0.79,0.66,0.95,1,0.09,0.04,0.43,1103.4,445.41,3344,20,"India,2006"
13,India,2010,112,0.42,0.63,0.32,0.03,-,0.68,0.96,0.79,0.7,0.89,1.02,0.12,0.11,0.51,1139.96,817.94,2970,20,"India,2010"
13,India,2014,114,0.36,0.56,0.24,-,-,0.68,0.97,0.79,0.78,0.89,1.04,0.13,0.1,0.72,1252.14,1458.74,5050,20,"India,2014"
