key,value,time
2006,0.79,0
2010,0.87,0
2014,0.88,0
2006,0.47,1
2010,0.44,1
2014,0.5,1
2006,0.59,2
2010,0.647,2
2014,0.75,2
2006,0.08,3
2010,0.63,3
2014,0.65,3
2006,0.67,4
2010,0.97,4
2014,0.9,4
2006,1,5
2010,1,5
2014,1,5
2006,1,6
2010,1,6
2014,1.01,6
2006,1.02,7
2010,1.02,7
2014,1.02,7
2006,1.28,8
2010,1.28,8
2014,1.26,8
2006,0.1,9
2010,0.95,9
2014,0.95,9
2006,1.08,10
2010,1.07,10
2014,1.07,10
2006,0.14,11
2010,0.23,11
2014,0.35,11
2006,0.21,12
2010,0.36,12
2014,0.95,12
2006,0.02,13
2010,0.02,13
2014,0.22,13
