key,value,time
2006,0.66,0
2010,0.63,0
2014,0.65,0
2006,0.73,1
2010,0.76,1
2014,0.79,1
2006,0.59,2
2010,0.58,2
2014,0.68,2
2006,1.38,3
2010,1.21,3
2014,0.91,3
2006,1.63,4
2010,1.64,4
2014,1.55,4
2006,0,5
2010,1.01,5
2014,1.01,5
2006,1.02,6
2010,1.02,6
2014,1.02,6
2006,1.2,7
2010,1.19,7
2014,1.19,7
2006,1.28,8
2010,1.24,8
2014,1.24,8
2006,0.95,9
2010,0.95,9
2014,0.95,9
2006,1.08,10
2010,1.08,10
2014,1.11,10
2006,0.19,11
2010,0.25,11
2014,0.38,11
2006,0.33,12
2010,0.16,12
2014,0.19,12
2006,0.29,13
2010,0.46,13
2014,0.46,13
