key,value,time
2006,0.58,0
2010,0.76,0
2014,0.77,0
2006,0.64,1
2010,0.66,1
2014,0.62,1
2006,0.45,2
2010,0.6,2
2014,0.52,2
2006,0.23,3
2010,0.43,3
2014,0.43,3
2006,0.89,4
2010,1.01,4
2014,1.05,4
2006,0.96,5
2010,0.98,5
2014,0.97,5
2006,1.01,6
2010,1,6
2014,0.99,6
2006,1.12,7
2010,1.06,7
2014,1.11,7
2006,1.17,8
2010,1.21,8
2014,0,8
2006,0.98,9
2010,0.98,9
2014,0.98,9
2006,1.05,10
2010,1.02,10
2014,1.08,10
2006,0.49,11
2010,0.8,11
2014,0.81,11
2006,0.71,12
2010,0.52,12
2014,0.59,12
2006,0,13
2010,0,13
2014,0,13
