key,value,time
2006,0.76,0
2010,0.55,0
2014,0.72,0
2006,0.6,1
2010,0.59,1
2014,0.56,1
2006,0.51,2
2010,0.71,2
2014,0.56,2
2006,0.61,3
2010,0.86,3
2014,1.13,3
2006,1,4
2010,0.98,4
2014,1.17,4
2006,1,5
2010,1,5
2014,1,5
2006,1.01,6
2010,0.99,6
2014,0.99,6
2006,1.11,7
2010,1.09,7
2014,1.08,7
2006,1.09,8
2010,0.99,8
2014,1.13,8
2006,0.97,9
2010,0.94,9
2014,0.94,9
2006,1.15,10
2010,1.08,10
2014,1.06,10
2006,0.14,11
2010,0.11,11
2014,0,11
2006,0.56,12
2010,0.27,12
2014,0.45,12
2006,0,13
2010,0,13
2014,0,13
