key,value,time
2006,0.84,0
2010,0.88,0
2014,0.84,0
2006,0.61,1
2010,0.7,1
2014,0.63,1
2006,0.66,2
2010,0.68,2
2014,0.64,2
2006,0.14,3
2010,0.2,3
2014,0.2,3
2006,0.82,4
2010,1.07,4
2014,1.08,4
2006,0.91,5
2010,0.94,5
2014,0.95,5
2006,1,6
2010,1,6
2014,1,6
2006,0.97,7
2010,0.97,7
2014,0,7
2006,0.85,8
2010,1.04,8
2014,1.13,8
2006,0.89,9
2010,0.88,9
2014,0.9,9
2006,1.03,10
2010,1.05,10
2014,1.03,10
2006,0.25,11
2010,0.27,11
2014,0.31,11
2006,0.07,12
2010,0.13,12
2014,0.09,12
2006,0.03,13
2010,0.08,13
2014,0.08,13
