key,value,time
2006,0.52,0
2010,0.6,0
2014,0.69,0
2006,0.5,1
2010,0.49,1
2014,0.5,1
2006,0.39,2
2010,0.42,2
2014,0.49,2
2006,0.32,3
2010,0.32,3
2014,0.31,3
2006,1.08,4
2010,1.02,4
2014,0.87,4
2006,1,5
2010,1,5
2014,1,5
2006,0.97,6
2010,0.99,6
2014,1,6
2006,1.01,7
2010,1.063,7
2014,1.04,7
2006,0.95,8
2010,1.01,8
2014,1.12,8
2006,0.95,9
2010,0.95,9
2014,0.96,9
2006,1.07,10
2010,1.07,10
2014,1.06,10
2006,0.18,11
2010,0.17,11
2014,0.19,11
2006,0.2,12
2010,0.83,12
2014,0.64,12
2006,0.01,13
2010,0.09,13
2014,0.09,13
