key,value,time
2006,0.41,0
2010,0.42,0
2014,0.36,0
2006,0.62,1
2010,0.63,1
2014,0.56,1
2006,0.38,2
2010,0.32,2
2014,0.24,2
2006,0.03,3
2010,0.03,3
2014,-,3
2006,0.27,4
2010,-,4
2014,-,4
2006,0.65,5
2010,0.68,5
2014,0.68,5
2006,0.94,6
2010,0.96,6
2014,0.97,6
2006,0.79,7
2010,0.79,7
2014,0.79,7
2006,0.66,8
2010,0.7,8
2014,0.78,8
2006,0.95,9
2010,0.89,9
2014,0.89,9
2006,1,10
2010,1.02,10
2014,1.04,10
2006,0.09,11
2010,0.12,11
2014,0.13,11
2006,0.04,12
2010,0.11,12
2014,0.1,12
2006,0.43,13
2010,0.51,13
2014,0.72,13
