key,value,time
2006,0.82,0
2010,0.85,0
2014,0.87,0
2006,0.63,1
2010,0.75,1
2014,0.72,1
2006,0.68,2
2010,0.69,2
2014,0.61,2
2006,0.56,3
2010,0.67,3
2014,0.67,3
2006,1.08,4
2010,1.25,4
2014,1.25,4
2006,1,5
2010,1,5
2014,1,5
2006,1,6
2010,1.01,6
2014,1.01,6
2006,1.03,7
2010,1.03,7
2014,1,7
2006,1.4,8
2010,1.48,8
2014,1.46,8
2006,0.96,9
2010,0.95,9
2014,0.95,9
2006,1.04,10
2010,1.03,10
2014,1.03,10
2006,0.47,11
2010,0.51,11
2014,0.51,11
2006,0.3,12
2010,0.4,12
2014,0.42,12
2006,0.22,13
2010,0.28,13
2014,0.28,13
