key,value,time
2006,0.92,0
2010,0.88,0
2014,0.96,0
2006,0.77,1
2010,0.78,1
2014,0.73,1
2006,0.67,2
2010,0.69,2
2014,0.4,2
2006,0.16,3
2010,0.5,3
2014,0.25,3
2006,-,4
2010,0.54,4
2014,0.71,4
2006,0.75,5
2010,0.81,5
2014,0.78,5
2006,0.99,6
2010,1.03,6
2014,1.03,6
2006,0.81,7
2010,0.92,7
2014,0.89,7
2006,0.62,8
2010,0.8,8
2014,0.27,8
2006,0.97,9
2010,0.97,9
2014,0.97,9
2006,1.05,10
2010,1.07,10
2014,1.02,10
2006,0.42,11
2010,0.46,11
2014,0.54,11
2006,0.31,12
2010,0.47,12
2014,0.47,12
2006,0,13
2010,0,13
2014,0,13
