key,value,time
2006,0.8,0
2010,0.84,0
2014,0.85,0
2006,0.63,1
2010,0.67,1
2014,0.69,1
2006,0.62,2
2010,0.71,2
2014,0.62,2
2006,0.49,3
2010,0.53,3
2014,0.52,3
2006,0.82,4
2010,0.9,4
2014,0.95,4
2006,1,5
2010,1,5
2014,1,5
2006,1,6
2010,1,6
2014,1,6
2006,1.03,7
2010,1.03,7
2014,1,7
2006,1.37,8
2010,1.4,8
2014,1.36,8
2006,0.95,9
2010,0.95,9
2014,0.95,9
2006,1.04,10
2010,1.03,10
2014,1.03,10
2006,0.25,11
2010,0.28,11
2014,0.29,11
2006,0.4,12
2010,0.29,12
2014,0.19,12
2006,0.3,13
2010,0.3,13
2014,0.3,13
